Target Database	Count
chebi	99
eccode	4984
efo	344
fplx	201
go	3727
hgnc	964
hgnc.genefamily	19
hp	167
interpro	1
mesh	108
ncbitaxon	1256
ncit	38
pr	144
prosite	2030
uniprot	472150
