chebi_id	wikidata_id
CHEBI:1060	Q27105397
CHEBI:1088	Q27105398
CHEBI:1090	Q27105399
CHEBI:1098	Q27105400
CHEBI:1107	Q27105401
CHEBI:1109	Q27105402
CHEBI:1110	Q27105403
CHEBI:1113	Q27105404
CHEBI:1121	Q27105405
CHEBI:1126	Q27105406
CHEBI:1127	Q27105407
CHEBI:1139	Q27105409
CHEBI:1141	Q27105410
CHEBI:1142	Q27105411
CHEBI:1148	Q3288610
CHEBI:1156	Q27105413
CHEBI:1157	Q339734
CHEBI:1159	Q27105414
CHEBI:1162	Q27105415
CHEBI:1171	Q27105417
CHEBI:1177	Q27105418
CHEBI:1178	Q27105419
CHEBI:1182	Q27105420
CHEBI:1188	Q27105422
CHEBI:1189	Q27105423
CHEBI:1191	Q27105424
CHEBI:1196	Q27105425
CHEBI:1217	Q15999703
CHEBI:1220	Q27105427
CHEBI:1221	Q27105428
CHEBI:1224	Q4596909
CHEBI:1228	Q27105429
CHEBI:1230	Q27895304
CHEBI:1237	Q425555
CHEBI:1241	Q27105431
CHEBI:1243	Q27105432
CHEBI:1254	Q27105433
CHEBI:1263	Q27105434
CHEBI:1274	Q27105435
CHEBI:1277	Q27105436
CHEBI:1283	Q27105437
CHEBI:1294	Q27105438
CHEBI:1296	Q27067423
CHEBI:1298	Q27105439
CHEBI:1301	Q27105440
CHEBI:1307	Q27105441
CHEBI:1309	Q27105442
CHEBI:1310	Q27105443
CHEBI:1322	Q27105444
CHEBI:1336	Q27105445
CHEBI:1367	Q26841257
CHEBI:1368	Q27105446
CHEBI:1369	Q27105447
CHEBI:1372	Q2823196
CHEBI:1374	Q27105448
CHEBI:1387	Q262270
CHEBI:1390	Q4634063
CHEBI:1391	Q69488
CHEBI:1394	Q27105449
CHEBI:1395	Q27105450
CHEBI:1403	Q27105451
CHEBI:1406	Q27105452
CHEBI:1416	Q27105453
CHEBI:1418	Q2423649
CHEBI:1427	Q10395558
CHEBI:1428	Q27105454
CHEBI:1438	Q27105456
CHEBI:1439	Q27105457
CHEBI:1442	Q27105458
CHEBI:1445	Q4634178
CHEBI:1446	Q27105459
CHEBI:1449	Q27105460
CHEBI:1456	Q27105461
CHEBI:1457	Q5891790
CHEBI:1458	Q27105462
CHEBI:1461	Q27105463
CHEBI:1463	Q27105465
CHEBI:1467	Q27105466
CHEBI:1472	Q27105467
CHEBI:1475	Q27105468
CHEBI:1506	Q18349093
CHEBI:1531	Q27105469
CHEBI:1543	Q27105470
CHEBI:1547	Q2815992
CHEBI:1556	Q27105471
CHEBI:1576	Q223097
CHEBI:1579	Q27105473
CHEBI:1580	Q15726098
CHEBI:1581	Q27105474
CHEBI:1582	Q4634167
CHEBI:1587	Q27105475
CHEBI:1602	Q27105478
CHEBI:1604	Q38133599
CHEBI:1606	Q27105479
CHEBI:1617	Q27105481
CHEBI:1624	Q27105483
CHEBI:1643	Q27105485
CHEBI:1656	Q27105486
CHEBI:1665	Q27105488
CHEBI:1670	Q2823221
CHEBI:1679	Q27105490
CHEBI:1683	Q27105491
CHEBI:1684	Q27105492
CHEBI:1689	Q27105493
CHEBI:1690	Q27105494
CHEBI:1712	Q18344323
CHEBI:1720	Q27105495
CHEBI:1728	Q27105497
CHEBI:1729	Q27105498
CHEBI:1730	Q27105499
CHEBI:1734	Q27067433
CHEBI:1736	Q27105500
CHEBI:1737	Q27105501
CHEBI:1744	Q27105502
CHEBI:1749	Q27105503
CHEBI:1751	Q15410876
CHEBI:1760	Q27105505
CHEBI:1784	Q229922
CHEBI:1790	Q27105508
CHEBI:1794	Q27105509
CHEBI:1800	Q27105510
CHEBI:1808	Q4637113
CHEBI:1826	Q27105511
CHEBI:1831	Q27105512
CHEBI:1864	Q15711643
CHEBI:1865	Q27105513
CHEBI:1867	Q27105514
CHEBI:1868	Q27105516
CHEBI:1879	Q402607
CHEBI:1881	Q27105517
CHEBI:1883	Q4637201
CHEBI:1887	Q27105518
CHEBI:1890	Q27105519
CHEBI:1894	Q27105520
CHEBI:1895	Q27067434
CHEBI:1896	Q27105521
CHEBI:1898	Q27105522
CHEBI:1904	Q27105523
CHEBI:1905	Q27105524
CHEBI:1911	Q27105525
CHEBI:1921	Q27105526
CHEBI:1926	Q27105528
CHEBI:1927	Q27105529
CHEBI:1941	Q27105530
CHEBI:1945	Q27105532
CHEBI:1949	Q27105533
CHEBI:1956	Q27105534
CHEBI:1958	Q27105535
CHEBI:1959	Q27105536
CHEBI:1963	Q27105537
CHEBI:1989	Q26995704
CHEBI:1995	Q5264611
CHEBI:1996	Q27105538
CHEBI:1997	Q27105539
CHEBI:2003	Q5205021
CHEBI:2007	Q27105540
CHEBI:2009	Q27105541
CHEBI:2010	Q27105542
CHEBI:2013	Q27105543
CHEBI:2015	Q27105545
CHEBI:2022	Q27105546
CHEBI:2024	Q27105547
CHEBI:2030	Q27067435
CHEBI:2038	Q416451
CHEBI:2040	Q27105548
CHEBI:2065	Q28000018
CHEBI:2069	Q1033729
CHEBI:2076	Q27105549
CHEBI:2082	Q3599225
CHEBI:2085	Q27105550
CHEBI:2086	Q570757
CHEBI:2089	Q4352011
CHEBI:2091	Q22830264
CHEBI:2103	Q27105552
CHEBI:2106	Q27105553
CHEBI:2108	Q27105555
CHEBI:2110	Q27105556
CHEBI:2120	Q4682945
CHEBI:2124	Q27105557
CHEBI:2128	Q27105558
CHEBI:2129	Q27105559
CHEBI:2131	Q27105561
CHEBI:2149	Q27105563
CHEBI:2150	Q27096666
CHEBI:2155	Q27105564
CHEBI:2156	Q27105565
CHEBI:2160	Q27105566
CHEBI:2161	Q27105567
CHEBI:2164	Q27105568
CHEBI:2165	Q27105569
CHEBI:2168	Q2406967
CHEBI:2169	Q27105570
CHEBI:2177	Q27105571
CHEBI:2179	Q27105572
CHEBI:2181	Q409082
CHEBI:2183	Q27105575
CHEBI:2184	Q27105576
CHEBI:2185	Q27105577
CHEBI:2195	Q18207933
CHEBI:2197	Q23055354
CHEBI:2198	Q20707319
CHEBI:2202	Q27105580
CHEBI:2209	Q27105581
CHEBI:2210	Q27105582
CHEBI:2212	Q4641544
CHEBI:2213	Q27105583
CHEBI:2215	Q27105584
CHEBI:2222	Q27105585
CHEBI:2226	Q27105586
CHEBI:2229	Q27105587
CHEBI:2233	Q27105588
CHEBI:2244	Q27105590
CHEBI:2245	Q27105591
CHEBI:2246	Q27105592
CHEBI:2247	Q11751628
CHEBI:2251	Q27105593
CHEBI:2255	Q4642864
CHEBI:2256	Q27105594
CHEBI:2258	Q27105595
CHEBI:2259	Q27105596
CHEBI:2260	Q19596786
CHEBI:2261	Q27105597
CHEBI:2262	Q27105598
CHEBI:2264	Q27105599
CHEBI:2267	Q27105600
CHEBI:2268	Q27105601
CHEBI:2269	Q27105602
CHEBI:2270	Q27105603
CHEBI:2271	Q27105604
CHEBI:2274	Q259300
CHEBI:2277	Q27105605
CHEBI:2285	Q27105606
CHEBI:2286	Q27105608
CHEBI:2287	Q27105609
CHEBI:2288	Q27105610
CHEBI:2290	Q27105611
CHEBI:2294	Q27105612
CHEBI:2295	Q27067436
CHEBI:2296	Q27105613
CHEBI:2301	Q27105614
CHEBI:2302	Q27105615
CHEBI:2303	Q27067438
CHEBI:2304	Q27105616
CHEBI:2305	Q27105617
CHEBI:2306	Q27105618
CHEBI:2310	Q27105620
CHEBI:2311	Q418878
CHEBI:2312	Q27105621
CHEBI:2313	Q27105623
CHEBI:2314	Q27105624
CHEBI:2315	Q27105625
CHEBI:2316	Q27105626
CHEBI:2317	Q27105627
CHEBI:2318	Q27105628
CHEBI:2319	Q27105629
CHEBI:2320	Q27105630
CHEBI:2321	Q27105631
CHEBI:2323	Q27105632
CHEBI:2327	Q27105633
CHEBI:2328	Q27105634
CHEBI:2332	Q6593516
CHEBI:2333	Q27105635
CHEBI:2336	Q27105636
CHEBI:2340	Q27105638
CHEBI:2341	Q25101107
CHEBI:2355	Q27105639
CHEBI:2361	Q27105640
